"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:14275","MRPL1","mitochondrial ribosomal protein L1","","","4q21.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14056","MRPL2","mitochondrial ribosomal protein L2","","","6p21.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:10379","MRPL3","mitochondrial ribosomal protein L3","RPML3","","3q22.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14276","MRPL4","mitochondrial ribosomal protein L4","","","19p13.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14055","MRPL10","mitochondrial ribosomal protein L10","","","17q21.32","Large subunit mitochondrial ribosomal proteins"
"HGNC:14042","MRPL11","mitochondrial ribosomal protein L11","","","11q13.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:10378","MRPL12","mitochondrial ribosomal protein L12","RPML12","","17q25.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14278","MRPL13","mitochondrial ribosomal protein L13","","","8q24.12","Large subunit mitochondrial ribosomal proteins"
"HGNC:14279","MRPL14","mitochondrial ribosomal protein L14","","","6p21.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14054","MRPL15","mitochondrial ribosomal protein L15","","","8q11.23","Large subunit mitochondrial ribosomal proteins"
"HGNC:14476","MRPL16","mitochondrial ribosomal protein L16","","","11q12.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14053","MRPL17","mitochondrial ribosomal protein L17","","","11p15.4","Large subunit mitochondrial ribosomal proteins"
"HGNC:14477","MRPL18","mitochondrial ribosomal protein L18","","","6q25.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14052","MRPL19","mitochondrial ribosomal protein L19","","","2p12","Large subunit mitochondrial ribosomal proteins"
"HGNC:14478","MRPL20","mitochondrial ribosomal protein L20","","","1p36.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:14479","MRPL21","mitochondrial ribosomal protein L21","","","11q13.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14480","MRPL22","mitochondrial ribosomal protein L22","","","5q33.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:10322","MRPL23","mitochondrial ribosomal protein L23","RPL23L","","11p15.5","Large subunit mitochondrial ribosomal proteins"
"HGNC:14037","MRPL24","mitochondrial ribosomal protein L24","","","1q23.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14483","MRPL27","mitochondrial ribosomal protein L27","","","17q21.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:14484","MRPL28","mitochondrial ribosomal protein L28","MAAT1","","16p13.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14036","MRPL30","mitochondrial ribosomal protein L30","","","2q11.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14035","MRPL32","mitochondrial ribosomal protein L32","","","7p14.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14487","MRPL33","mitochondrial ribosomal protein L33","C2orf1","","2p23.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14488","MRPL34","mitochondrial ribosomal protein L34","","","19p13.11","Large subunit mitochondrial ribosomal proteins"
"HGNC:14489","MRPL35","mitochondrial ribosomal protein L35","","","2p11.2","Large subunit mitochondrial ribosomal proteins"
"HGNC:14490","MRPL36","mitochondrial ribosomal protein L36","","","5p15.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:14034","MRPL37","mitochondrial ribosomal protein L37","","","1p32.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14033","MRPL38","mitochondrial ribosomal protein L38","","","17q25.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:14027","MRPL39","mitochondrial ribosomal protein L39","","","21q21.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14491","MRPL40","mitochondrial ribosomal protein L40","NLVCF","","22q11.21","Large subunit mitochondrial ribosomal proteins"
"HGNC:14492","MRPL41","mitochondrial ribosomal protein L41","","","9q34.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:14493","MRPL42","mitochondrial ribosomal protein L42","","","12q22","Large subunit mitochondrial ribosomal proteins"
"HGNC:14517","MRPL43","mitochondrial ribosomal protein L43","","","10q24.31","Large subunit mitochondrial ribosomal proteins"
"HGNC:16650","MRPL44","mitochondrial ribosomal protein L44","","","2q36.1","Large subunit mitochondrial ribosomal proteins"
"HGNC:16651","MRPL45","mitochondrial ribosomal protein L45","","","17q12","Large subunit mitochondrial ribosomal proteins"
"HGNC:1192","MRPL46","mitochondrial ribosomal protein L46","C15orf4","","15q25.3","Large subunit mitochondrial ribosomal proteins"
"HGNC:16652","MRPL47","mitochondrial ribosomal protein L47","","","3q26.33","Large subunit mitochondrial ribosomal proteins"
"HGNC:16653","MRPL48","mitochondrial ribosomal protein L48","","","11q13.4","Large subunit mitochondrial ribosomal proteins"
